% Dados de entrada %
% Formato: %
% cid,nome,alcance(Gotícula ou Aerosol) %
b34.0,ADENOVÍRUS,g
b26,CAXUMBA,g
a37,COQUELUCHE,g
a36.0,DIFTÉRIA FARÍNGEA,g
j05,EPIGLOTITE,g
b08.5,FARGINGITE VESICULAR,g
a38,ESCARLATINA,g
j12,PNEUMONIA,g
b02,HERPES ZOSTER DISSEMINADO,a
j09,INFLUENZA: A B C,g
g00,MENINGITE HAEMOPHILUS INFLUENZAE,g
a39,MENINGOCOCCEMIA,g
j12.0,PNEUMONIA ADENOVIRUS,g
j14,PNEUMONIA HAEMOPLHIUS INFLUENZAE,g
a39,PNEUMONIA Meningocóccica,g
j13,PNEUMONIA Streptococcus A,g
b06,RUBEOLA ADQUIRIDA,g
b05,SARAMPO,a
a15.0,TUBERCULOSE PULMONAR,a
a15.5,TUBERCULOSE LARINGEA,a
b01,VARICELA,a
